
	 t=-10
-9.788	0.00422396	3.05663e-20

	 t=-9.786
-9.786	-0.000652633	2.1995e-18
-9.786	0.00913066	2.45804e-18
-9.786	-0.000824454	-1.68284e-18
-9.786	0.00422604	6.4432e-18

	 t=-9.784
-9.784	-0.000652411	4.54322e-18
-9.784	0.00913365	5.38856e-18
-9.784	-0.000824846	-7.90893e-20
-9.784	0.00422812	4.30531e-19

	 t=-9.782
-9.782	-0.00065219	-1.85491e-18
-9.782	0.00913664	-1.85138e-19
-9.782	-0.000825238	-5.7176e-19
-9.782	0.0042302	5.52929e-18

	 t=-9.78
-9.78	-0.000651968	3.52205e-18
-9.78	0.00913964	6.17771e-18
-9.78	-0.00082563	-9.25606e-19
-9.78	0.00423229	5.93815e-18

	 t=-9.778
-9.778	-0.000651745	6.52682e-18
-9.778	0.00914263	1.53445e-18
-9.778	-0.000826023	4.68087e-19
-9.778	0.00423437	4.60409e-18

	 t=-9.776
-9.776	-0.000651523	3.48068e-18
-9.776	0.00914563	3.06405e-18
-9.776	-0.000826415	-7.51754e-19
-9.776	0.00423646	1.47028e-18

	 t=-9.774
-9.774	-0.0006513	-1.07085e-19
-9.774	0.00914863	2.26533e-18
-9.774	-0.000826808	-5.14022e-20
-9.774	0.00423855	5.6212e-18

	 t=-9.772
-9.772	-0.000651076	-8.26227e-19
-9.772	0.00915163	5.42642e-18
-9.772	-0.000827202	6.79848e-19
-9.772	0.00424064	-2.59668e-18

	 t=-9.77
-9.77	-0.000650853	5.1705e-19
-9.77	0.00915463	8.77461e-18
-9.77	-0.000827595	-5.38297e-19
-9.77	0.00424273	-1.63933e-18

	 t=-9.768
-9.768	-0.000650629	3.82173e-18
-9.768	0.00915763	4.75622e-18
-9.768	-0.000827989	-1.30164e-19
-9.768	0.00424482	-1.18997e-18

	 t=-9.766
-9.766	-0.000650405	1.92591e-18
-9.766	0.00916063	8.60221e-18
-9.766	-0.000828383	4.55202e-19
-9.766	0.00424691	7.75986e-18

	 t=-9.764
-9.764	-0.00065018	4.52219e-18
-9.764	0.00916364	6.1018e-18
-9.764	-0.000828777	-5.90372e-19
-9.764	0.00424901	1.88628e-18

	 t=-9.762
-9.762	-0.000649956	-6.84266e-18
-9.762	0.00916665	8.16154e-18
-9.762	-0.000829172	1.13194e-18
-9.762	0.00425111	1.15239e-18

	 t=-9.76
-9.76	-0.000649731	1.51761e-18
-9.76	0.00916966	1.49337e-17
-9.76	-0.000829566	2.97789e-19
-9.76	0.0042532	-4.16764e-18

	 t=-9.758
-9.758	-0.000649505	-3.59008e-18
-9.758	0.00917267	1.01567e-17
-9.758	-0.000829961	1.92373e-19
-9.758	0.0042553	5.42614e-19

	 t=-9.756
-9.756	-0.000649279	2.84868e-18
-9.756	0.00917568	7.18065e-18
-9.756	-0.000830357	2.32005e-19
-9.756	0.0042574	-1.48593e-19

	 t=-9.754
-9.754	-0.000649053	5.31088e-18
-9.754	0.00917869	3.67642e-18
-9.754	-0.000830752	-1.49682e-19
-9.754	0.00425951	-3.35535e-19

	 t=-9.752
-9.752	-0.000648827	-5.13481e-19
-9.752	0.0091817	1.47634e-17
-9.752	-0.000831148	8.94548e-19
-9.752	0.00426161	-9.59647e-20

	 t=-9.75
-9.75	-0.0006486	-1.35923e-18
-9.75	0.00918472	-9.61193e-20
-9.75	-0.000831544	1.52954e-19
-9.75	0.00426372	2.46935e-19

	 t=-9.748
-9.748	-0.000648373	6.91881e-19
-9.748	0.00918774	1.23438e-17
-9.748	-0.00083194	1.93465e-19
-9.748	0.00426582	-3.92515e-20

	 t=-9.746
-9.746	-0.000648146	-3.35461e-18
-9.746	0.00919076	9.03096e-18
-9.746	-0.000832337	5.08405e-19
-9.746	0.00426793	7.49434e-19

	 t=-9.744
-9.744	-0.000647919	-5.37248e-18
-9.744	0.00919378	2.47939e-18
-9.744	-0.000832734	2.71006e-19
-9.744	0.00427004	8.17805e-18

	 t=-9.742
-9.742	-0.000647691	-5.31083e-18
-9.742	0.0091968	5.18941e-18
-9.742	-0.000833131	3.18296e-19
-9.742	0.00427215	2.47319e-19

	 t=-9.74
-9.74	-0.000647462	4.34712e-18
-9.74	0.00919982	3.63789e-18
-9.74	-0.000833528	1.17144e-18
-9.74	0.00427426	-5.52708e-19

	 t=-9.738
-9.738	-0.000647234	-5.04223e-18
-9.738	0.00920285	1.70091e-17
-9.738	-0.000833926	-6.40572e-19
-9.738	0.00427638	-1.19728e-18

	 t=-9.736
-9.736	-0.000647005	4.58431e-19
-9.736	0.00920588	1.68579e-17
-9.736	-0.000834323	-1.14767e-19
-9.736	0.00427849	9.20574e-19

	 t=-9.734
-9.734	-0.000646776	-2.69571e-19
-9.734	0.0092089	5.44292e-18
-9.734	-0.000834721	-2.00472e-19
-9.734	0.00428061	5.81178e-18

	 t=-9.732
-9.732	-0.000646546	-4.28872e-18
-9.732	0.00921193	3.8756e-18
-9.732	-0.00083512	-3.8986e-21
-9.732	0.00428272	6.87946e-18

	 t=-9.73
-9.73	-0.000646317	-8.73551e-20
-9.73	0.00921496	3.08584e-18
-9.73	-0.000835518	-1.21044e-18
-9.73	0.00428484	-4.36391e-19

	 t=-9.728
-9.728	-0.000646087	2.09204e-18
-9.728	0.009218	9.21145e-19
-9.728	-0.000835917	4.61749e-19
-9.728	0.00428696	-4.05479e-19

	 t=-9.726
-9.726	-0.000645856	4.27548e-18
-9.726	0.00922103	4.37299e-18
-9.726	-0.000836316	6.64411e-19
-9.726	0.00428909	2.18282e-18

	 t=-9.724
-9.724	-0.000645625	-8.91765e-19
-9.724	0.00922407	4.87917e-18
-9.724	-0.000836716	1.75019e-19
-9.724	0.00429121	8.14923e-18

	 t=-9.722
-9.722	-0.000645394	1.93761e-19
-9.722	0.0092271	5.10328e-18
-9.722	-0.000837115	-1.52552e-18
-9.722	0.00429334	1.5431e-18

	 t=-9.72
-9.72	-0.000645163	3.33496e-18
-9.72	0.00923014	1.80462e-18
-9.72	-0.000837515	1.33733e-18
-9.72	0.00429546	-1.95546e-18

	 t=-9.718
-9.718	-0.000644931	-2.33261e-18
-9.718	0.00923318	6.48435e-19
-9.718	-0.000837915	-3.14549e-19
-9.718	0.00429759	7.48779e-18

	 t=-9.716
-9.716	-0.000644699	1.14267e-17
-9.716	0.00923622	5.58665e-18
-9.716	-0.000838316	2.51697e-19
-9.716	0.00429972	5.79496e-18

	 t=-9.714
-9.714	-0.000644467	6.87336e-18
-9.714	0.00923927	1.15724e-18
-9.714	-0.000838716	-1.65328e-18
-9.714	0.00430185	-1.65076e-18

	 t=-9.712
-9.712	-0.000644234	-6.76187e-18
-9.712	0.00924231	5.03125e-18
-9.712	-0.000839117	9.78496e-19
-9.712	0.00430398	6.10341e-18

	 t=-9.71
-9.71	-0.000644001	2.64079e-18
-9.71	0.00924536	1.3473e-17
-9.71	-0.000839518	3.83323e-19
-9.71	0.00430612	-1.55451e-18

	 t=-9.708
-9.708	-0.000643768	-5.87127e-19
-9.708	0.00924841	8.74026e-18
-9.708	-0.00083992	-1.28646e-19
-9.708	0.00430825	7.03179e-18

	 t=-9.706
-9.706	-0.000643535	8.03197e-18
-9.706	0.00925146	7.47083e-18
-9.706	-0.000840321	-1.11538e-18
-9.706	0.00431039	6.49869e-18

	 t=-9.704
-9.704	-0.000643301	2.06047e-18
-9.704	0.00925451	7.05714e-18
-9.704	-0.000840723	2.62618e-19
-9.704	0.00431252	3.85033e-18

	 t=-9.702
-9.702	-0.000643066	-2.40478e-18
-9.702	0.00925756	4.14409e-18
-9.702	-0.000841125	-1.28839e-18
-9.702	0.00431466	-6.17376e-19

	 t=-9.7
-9.7	-0.000642832	-1.96742e-18
-9.7	0.00926061	2.12135e-21
-9.7	-0.000841528	-1.24424e-18
-9.7	0.0043168	3.22617e-18

	 t=-9.698
-9.698	-0.000642597	-4.90365e-18
-9.698	0.00926367	3.10114e-18
-9.698	-0.000841931	4.11679e-19
-9.698	0.00431895	3.0375e-18

	 t=-9.696
-9.696	-0.000642362	6.4025e-18
-9.696	0.00926673	1.30411e-18
-9.696	-0.000842334	3.91913e-19
-9.696	0.00432109	6.82075e-18

	 t=-9.694
-9.694	-0.000642126	5.98583e-19
-9.694	0.00926978	5.69611e-18
-9.694	-0.000842737	-1.51976e-18
-9.694	0.00432324	6.91239e-18

	 t=-9.692
-9.692	-0.00064189	-2.97108e-18
-9.692	0.00927284	-4.55673e-19
-9.692	-0.00084314	-2.31497e-19
-9.692	0.00432538	9.78472e-21

	 t=-9.69
-9.69	-0.000641654	2.1841e-18
-9.69	0.00927591	1.03561e-17
-9.69	-0.000843544	3.32722e-19
-9.69	0.00432753	3.73205e-18

	 t=-9.688
-9.688	-0.000641418	1.45763e-18
-9.688	0.00927897	5.8833e-18
